模型,MAE (BPM),RMSE (BPM),R²,MAPE (%),最大误差 (BPM),中位误差 (BPM),误差标准差,95%置信区间下限,95%置信区间上限,±3BPM准确率 (%),低心率区间MAE,正常心率区间MAE,高心率区间MAE,单样本推理时间 (ms),样本/秒
DeepStateSpace,2.119283437728882,3.55477536271049,0.665619432926178,3.1323593109846115,19.395729064941406,1.5002021789550781,3.364143758672961,-7.430008888244629,10.451430130004882,91.5433403805497,2.7811633870005608,1.8737162576205488,,68.57457399368286,1023.4129952539806
LSTMNet,2.8422579765319824,4.74876508219855,0.40326976776123047,4.391063749790192,15.982345581054688,1.0754508972167969,4.734718491770381,-10.200755023956297,13.073369979858391,73.78435517970402,5.742823541164398,1.7661057568978573,,118.17354440689087,665.4159200436633
